placename	longitude	latitude	file 	query
Mulanje	35.5	-16.03163	203_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	204_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	205_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	207_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	215_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	22_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	237_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	238_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	23_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	240_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	245_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	247_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	248_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	25_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	2_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	30_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	31_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	35_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	36_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	37_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	39_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	40_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	41_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	42_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	46_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	47_jpg.txt	Mulanje
Mulanje	35.5	-16.03163	52_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	54_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	89_pdf.txt	Mulanje
Mulanje	35.5	-16.03163	91_jpg.txt	Mulanje
Mulanje	35.5	-16.03163	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Mulanje
Mundi	35.85	-14.71667	30_pdf.txt	Mundi
Mutawa	33.91667	-13.4	IGPWP_Forestry_Project_sites0.csv	Mutawa
Mutawa	33.91667	-13.4	IGPWP_Forestry_Project_sites1.csv	Mutawa
Mutawa	33.91667	-13.4	IGPWP_Forestry_Project_sites.csv	Mutawa
Mvula	33.88333	-13.43333	197_pdf.txt	Mvula
Mvula	33.88333	-13.43333	238_pdf.txt	Mvula
Mvula	33.88333	-13.43333	245_pdf.txt	Mvula
Mvula	33.88333	-13.43333	46_pdf.txt	Mvula
Mwale	34.71667	-15.08333	197_pdf.txt	Mwale
Mwale	34.71667	-15.08333	46_pdf.txt	Mwale
Mwambo	35.51441	-15.4356	36_pdf.txt	Mwambo
Mwana	35.56667	-15.83333	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Mwana
Mwanza	34.52479	-15.60262	105_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	15_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	162_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	206_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	215_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	235_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	236_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	238_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	239_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	23_pdf.txt	Mwanza
