Project ID,latitude,longitude
1,-14.39296,35.34658
1,-13.5,34
1,-15.39979,35.31366
1,-14.26843,35.24659
1,-14.01962,33.68407
1,-15.4,35.31667
1,-15.64732,34.93956
1,-15.75268,35.21576
2,-13.5,34
2,-14.18031,33.77725
2,-13.5,34
3,-13.5,34
3,-13.5,34
4,-13.5,34
5,-13.5,34
8,-14.98333,34.66667
9,-12.56667,34.15
9,-12.33514,34.05251
9,-14.01962,33.68407
9,-12.83333,33.5
9,-14.26273,34.18559
9,-12.16667,33.68333
9,-13,33.41667
9,-11.65304,34.05322
9,-13.5,34
11,-13.5,34
11,-14.01962,33.68407
11,-13.5,34
12,-13.5,34
12,-14.01962,33.68407
12,-13.5,34
13,-12.16667,33.68333
14,-14.51667,34.46667
14,-12.56667,33.31667
14,-13.5,34
15,-13.5,34
15,-13.96692,33.78725
16,-13.5,34
16,-13.96692,33.78725
17,-12.80417,34.08298
17,-15.04839,35.0591
17,-13.5,34
17,-13.5,34
17,-14.01962,33.68407
17,-16.16667,34.75
18,-14.01962,33.68407
20,-16.75,35.16667
20,-14.01962,33.68407
20,-13.5,34
20,-13.5,34
20,-16.16667,34.75
23,-13.5,34
23,-13.5,34
25,-14.39296,35.34658
25,-11,34
25,-13.12796,34.18533
25,-15.66667,35.66667
25,-13.5,34
25,-13.03333,33.53333
25,-11.85428,33.60778
25,-13.15789,33.81446
25,-13.5,34
25,-13.29574,33.90798
25,-14.08239,34.91652
26,-13.5,34
26,-15.76667,35.16667
26,-12.08167,34.73611
26,-16.03333,35.56667
26,-16.16667,34.75
26,-13.5,34
26,-13.11667,33.53333
26,-14.01962,33.68407
26,-13.71959,34.40184
26,-14.11667,33.95
26,-15.64732,34.93956
27,-13.5,34
27,-14.766,35.283
27,-15.15,34.58333
27,-14.08239,34.91652
27,-15.78499,35.00854
27,-15.43007,35.41829
27,-13.5,34
27,-13.11667,33.53333
27,-14.01962,33.68407
27,-15.64732,34.93956
27,-15.63337,34.51682
27,-14.75,34.75
27,-15.75268,35.21576
28,-13.83333,33.05
28,-13.5,34
28,-14.72359,34.80892
28,-14.63566,35.25184
28,-12.56667,33.43333
28,-15.43007,35.41829
28,-13.5,34
28,-13.76667,33.63333
28,-14.01962,33.68407
28,-11.85428,33.60778
28,-15.64732,34.93956
29,-15.6,35.08333
30,-11.46556,34.02071
30,-13.5,34
30,-14.01962,33.68407
30,-15.64732,34.93956
30,-15.43007,35.41829
30,-13.5,34
31,-15.12296,35.54495
31,-14.01962,33.68407
31,-13.5,34
32,-14.01962,33.68407
32,-13.5,34
32,-13.5,34
33,-14.01962,33.68407
33,-13.5,34
34,-14.01962,33.68407
34,-13.5,34
35,-14.1,34.2
35,-13.5,34
35,-15.63333,34.61667
35,-16.4,34.86667
35,-12.56667,34.15
35,-13.5,34
35,-13.71959,34.40184
35,-13.5,34
35,-15.2,35.51667
35,-12.81774,34.22743
35,-14.01962,33.68407
36,-16.4,34.86667
36,-13.5,34
36,-13.5,34
37,-13.68333,34.33333
37,-13.5,34
37,-13.5,34
38,-13.78386,34.41936
38,-16.58194,35.12483
38,-11.42329,33.77149
38,-15.81188,35.07084
38,-15.78499,35.00854
38,-13.9461,33.79605
38,-13.5,34
38,-10.11153,33.88151
38,-13.98287,33.77049
38,-14.08239,34.91652
38,-13.94731,33.79122
38,-13.92749,33.79789
38,-14.02266,33.70524
38,-11.05462,33.92209
38,-13.5,34
38,-14.43419,34.42081
38,-13.97767,33.757
38,-15.78509,34.99993
38,-14.01962,33.68407
38,-11.46751,34.02298
38,-15.78721,35.03046
38,-15.64732,34.93956
38,-16.16667,34.75
38,-15.80115,35.05338
