"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43862,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",9,"n.a. (1805)","","","Unknown","Unknown"
43863,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",10,"n.a. (1807)","","","Unknown","Unknown"
43864,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",11,"n.a. (1809)","","","Unknown","Unknown"
43865,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",12,"n.a. (1814)","","","Unknown","Unknown"
43866,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",13,"n.a. (1829)","","","Unknown","Unknown"
43867,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",14,"n.a. (1831)","","","Unknown","Unknown"
43868,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",15,"n.a. (1832)","","","Unknown","Unknown"
43869,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",16,"n.a. (1834)","","","Unknown","Unknown"
43870,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",17,"n.a. (1844)","","","Unknown","Unknown"
43871,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",18,"n.a. (1847)","","","Unknown","Unknown"
43872,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",19,"n.a. (1849)","","","Unknown","Unknown"
43873,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",20,"n.a. (1850)","","","Unknown","Unknown"
43874,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",21,"n.a. (1854)","","","Unknown","Unknown"
43875,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",22,"n.a. (1862)","","","Unknown","Unknown"
43876,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",23,"n.a. (1864)","","","Unknown","Unknown"
43877,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",24,"n.a. (1865)","","","Unknown","Unknown"
43878,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",25,"n.a. (1868)","","","Unknown","Unknown"
43879,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",26,"n.a. (1870)","","","Unknown","Unknown"
43880,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",27,"n.a. (1873)","","","Unknown","Unknown"
43881,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",28,"n.a. (1890)","","","Unknown","Unknown"
43882,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",29,"n.a. (1891)","","","Unknown","Unknown"
43883,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",30,"n.a. (1893)","","","Unknown","Unknown"
43884,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",31,"n.a. (1894)","","","Unknown","Unknown"
43885,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",32,"n.a. (1909)","","","Unknown","Unknown"
43886,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",33,"n.a. (1918)","","","Unknown","Unknown"
43887,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",34,"n.a. (1919)","","","Unknown","Unknown"
43888,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",35,"n.a. (1926)","","","Unknown","Unknown"
43889,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",36,"n.a. (1927)","","","Unknown","Unknown"
43890,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",37,"n.a. (1942)","","","Unknown","Unknown"
43891,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",38,"n.a. (1944)","","","Unknown","Unknown"
43892,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",39,"n.a. (1970)","","","Unknown","Unknown"
43893,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",40,"n.a. (1973)","","","Unknown","Unknown"
43894,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",41,"n.a. (1863)","","","Unknown","Unknown"
43895,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",42,"n.a. (1866)","","","Unknown","Unknown"
43896,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",43,"n.a. (1882)","","","Unknown","Unknown"
43897,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",44,"n.a. (1907)","","","Unknown","Unknown"
43898,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",45,"n.a. (1912)","","","Unknown","Unknown"
43899,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",46,"n.a. (1920)","","","Unknown","Unknown"
43900,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",47,"n.a. (1924)","","","Unknown","Unknown"
43901,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",48,"n.a. (1928)","","","Unknown","Unknown"
43902,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",49,"n.a. (1931)","","","Unknown","Unknown"
43903,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",50,"n.a. (1937)","","","Unknown","Unknown"
43904,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",51,"n.a. (1939)","","","Unknown","Unknown"
43905,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",52,"n.a. (1940)","","","Unknown","Unknown"
43906,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",53,"n.a. (1943)","","","Unknown","Unknown"
43907,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",54,"n.a. (1948)","","","Unknown","Unknown"
43908,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",55,"n.a. (1960)","","","Unknown","Unknown"
43909,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",56,"n.a. (1965)","","","Unknown","Unknown"
43910,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",57,"n.a. (1968)","","","Unknown","Unknown"
43911,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",58,"n.a. (1969)","","","Unknown","Unknown"
43912,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",59,"n.a. (1974)","","","Unknown","Unknown"
43913,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",60,"n.a. (1976)","","","Unknown","Unknown"
43914,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",61,"n.a. (1977)","","","Unknown","Unknown"
43915,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",62,"n.a. (1980)","","","Unknown","Unknown"
