"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21298,135,"MWI","Malawi",8,"Karonga",60,"SC Mwakaboko","","","Sub-chief","Sub-chief"
21299,135,"MWI","Malawi",8,"Karonga",61,"SC Mwirang'ombe","","","Sub-chief","Sub-chief"
21300,135,"MWI","Malawi",8,"Karonga",62,"TA Kilupula","","","Traditional Authority","Traditional Authority"
21301,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu","","","Traditional Authority","Traditional Authority"
21302,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo","","","Traditional Authority","Traditional Authority"
21303,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma","","","Boma","Headquarter"
21304,135,"MWI","Malawi",9,"Kasungu",66,"Kasungu National Park","","","National Park","National Park"
21305,135,"MWI","Malawi",9,"Kasungu",67,"SC Chilowamatambe","","","Sub-chief","Sub-chief"
21306,135,"MWI","Malawi",9,"Kasungu",68,"SC Chisikwa","","","Sub-chief","Sub-chief"
21307,135,"MWI","Malawi",9,"Kasungu",69,"SC Kawamba","","","Sub-chief","Sub-chief"
21308,135,"MWI","Malawi",9,"Kasungu",70,"SC Lukwa","","","Sub-chief","Sub-chief"
21309,135,"MWI","Malawi",9,"Kasungu",71,"SC M'nyanja","","","Sub-chief","Sub-chief"
21310,135,"MWI","Malawi",9,"Kasungu",72,"SC Njombwa","","","Sub-chief","Sub-chief"
21311,135,"MWI","Malawi",9,"Kasungu",73,"SC Simlemba","","","Sub-chief","Sub-chief"
21312,135,"MWI","Malawi",9,"Kasungu",74,"TA Chulu","","","Traditional Authority","Traditional Authority"
21313,135,"MWI","Malawi",9,"Kasungu",75,"TA Kaluluma","","","Traditional Authority","Traditional Authority"
21314,135,"MWI","Malawi",9,"Kasungu",76,"TA Kaomba","","","Traditional Authority","Traditional Authority"
21315,135,"MWI","Malawi",9,"Kasungu",77,"TA Kapelula","","","Traditional Authority","Traditional Authority"
21316,135,"MWI","Malawi",9,"Kasungu",78,"TA Mwase","","","Traditional Authority","Traditional Authority"
21317,135,"MWI","Malawi",9,"Kasungu",79,"TA Santhe","","","Traditional Authority","Traditional Authority"
21318,135,"MWI","Malawi",9,"Kasungu",80,"TA Wimbe","","","Traditional Authority","Traditional Authority"
21319,135,"MWI","Malawi",10,"Lilongwe",81,"Lilongwe City","","","City","City"
21320,135,"MWI","Malawi",10,"Lilongwe",82,"SC Chitekwele","","","Sub-chief","Sub-chief"
21321,135,"MWI","Malawi",10,"Lilongwe",83,"SC Mtema","","","Sub-chief","Sub-chief"
21322,135,"MWI","Malawi",10,"Lilongwe",84,"SC Njewa","","","Sub-chief","Sub-chief"
21323,135,"MWI","Malawi",10,"Lilongwe",85,"SC Tsabango","","","Sub-chief","Sub-chief"
21324,135,"MWI","Malawi",10,"Lilongwe",86,"TA Chadza","","","Traditional Authority","Traditional Authority"
21325,135,"MWI","Malawi",10,"Lilongwe",87,"TA Chimutu","","","Traditional Authority","Traditional Authority"
21326,135,"MWI","Malawi",10,"Lilongwe",88,"TA Chiseka","","","Traditional Authority","Traditional Authority"
21327,135,"MWI","Malawi",10,"Lilongwe",89,"TA Chitukula","","","Traditional Authority","Traditional Authority"
21328,135,"MWI","Malawi",10,"Lilongwe",90,"TA Kabudula","","","Traditional Authority","Traditional Authority"
21329,135,"MWI","Malawi",10,"Lilongwe",91,"TA Kalolo","","","Traditional Authority","Traditional Authority"
21330,135,"MWI","Malawi",10,"Lilongwe",92,"TA Kalumba","","","Traditional Authority","Traditional Authority"
21331,135,"MWI","Malawi",10,"Lilongwe",93,"TA Kalumbu","","","Traditional Authority","Traditional Authority"
21332,135,"MWI","Malawi",10,"Lilongwe",94,"TA Khongoni","","","Traditional Authority","Traditional Authority"
21333,135,"MWI","Malawi",10,"Lilongwe",95,"TA Malili","","","Traditional Authority","Traditional Authority"
21334,135,"MWI","Malawi",10,"Lilongwe",96,"TA Mazengera","","","Traditional Authority","Traditional Authority"
21335,135,"MWI","Malawi",11,"Machinga",97,"Lake Chilwa","","","Water body","Water body"
21336,135,"MWI","Malawi",11,"Machinga",98,"Lake Chiuta","","","Water body","Water body"
21337,135,"MWI","Malawi",11,"Machinga",99,"Liwonda National Park","","","National Park","National Park"
21338,135,"MWI","Malawi",11,"Machinga",100,"Liwonde Town","","","Town","Town"
21339,135,"MWI","Malawi",11,"Machinga",101,"SC Chamba","","","Sub-chief","Sub-chief"
21340,135,"MWI","Malawi",11,"Machinga",102,"SC Chikweo","","","Sub-chief","Sub-chief"
21341,135,"MWI","Malawi",11,"Machinga",103,"SC Chiwalo","","","Sub-chief","Sub-chief"
21342,135,"MWI","Malawi",11,"Machinga",104,"SC Mlomba","","","Sub-chief","Sub-chief"
21343,135,"MWI","Malawi",11,"Machinga",105,"SC Mposa","","","Sub-chief","Sub-chief"
21344,135,"MWI","Malawi",11,"Machinga",106,"SC Ngokwe","","","Sub-chief","Sub-chief"
21345,135,"MWI","Malawi",11,"Machinga",107,"SC Sitola","","","Sub-chief","Sub-chief"
21346,135,"MWI","Malawi",11,"Machinga",108,"TA Kawinga","","","Traditional Authority","Traditional Authority"
21347,135,"MWI","Malawi",11,"Machinga",109,"TA Liwonde","","","Traditional Authority","Traditional Authority"
21348,135,"MWI","Malawi",11,"Machinga",110,"TA Nyambi","","","Traditional Authority","Traditional Authority"
21349,135,"MWI","Malawi",12,"Mangochi",111,"Lake Malawi","","","Water body","Water body"
21350,135,"MWI","Malawi",12,"Mangochi",112,"Lake Malombe","","","Water body","Water body"
21351,135,"MWI","Malawi",12,"Mangochi",113,"Mangochi Town","","","Town","Town"
21352,135,"MWI","Malawi",12,"Mangochi",114,"Monkey Bay Urban","","","Urban","Urban"
21353,135,"MWI","Malawi",12,"Mangochi",115,"SC Chowe","","","Sub-chief","Sub-chief"
21354,135,"MWI","Malawi",12,"Mangochi",116,"SC Mbwana Nyambi","","","Sub-chief","Sub-chief"
21355,135,"MWI","Malawi",12,"Mangochi",117,"SC Namabvi","","","Sub-chief","Sub-chief"
21356,135,"MWI","Malawi",12,"Mangochi",118,"TA Chimwala","","","Traditional Authority","Traditional Authority"
21357,135,"MWI","Malawi",12,"Mangochi",119,"TA Jalasi","","","Traditional Authority","Traditional Authority"
21358,135,"MWI","Malawi",12,"Mangochi",120,"TA Katuli","","","Traditional Authority","Traditional Authority"
21359,135,"MWI","Malawi",12,"Mangochi",121,"TA Makanjila","","","Traditional Authority","Traditional Authority"
21360,135,"MWI","Malawi",12,"Mangochi",122,"TA Mponda","","","Traditional Authority","Traditional Authority"
21361,135,"MWI","Malawi",12,"Mangochi",123,"TA Nankumba","","","Traditional Authority","Traditional Authority"
21362,135,"MWI","Malawi",13,"Mchinji",124,"Mchinji Boma","","","Boma","Headquarter"
21363,135,"MWI","Malawi",13,"Mchinji",125,"SC Dambe","","","Sub-chief","Sub-chief"
21364,135,"MWI","Malawi",13,"Mchinji",126,"SC Mavwere","","","Sub-chief","Sub-chief"
21365,135,"MWI","Malawi",13,"Mchinji",127,"SC Mduwa","","","Sub-chief","Sub-chief"
