project_ID,latitude,longitude,precision_code,geoname_ID,geoname
872261149936,,,6,927384,Republic of Malawi
872261149941,,,6,927384,Republic of Malawi
872261149989,,,8,927384,Republic of Malawi
872261169981,-15.66667,35.66667,3,1105842,Phalombe District
872261169981,-14.08333,34.91667,1,926308,Monkey Bay
872261169981,-13.15,33.83333,1,927319,Malomo
872261169981,-12.35,33.55,1,929625,Jenda Theo
872261169981,,,6,927384,Republic of Malawi
872261169981,-11.85428,33.60778,3,925496,Mzimba District
872261169981,-13.29574,33.90798,3,924490,Ntchisi District
872261169981,-14.39296,35.34658,3,927245,Mangochi District
872261189748,,,8,927384,Republic of Malawi
872261189748,,,8,927384,Republic of Malawi
872261189755,-16.998553,35.228991,3,926878,Mbenje
872261189755,-11.55,34.183333,3,923646,Timbiri
872261189755,-11.45,33.416667,1,930823,Chinde
872261189755,-12.983333,33.683333,3,923410,Wimbe
872261189755,-13.516667,32.95,3,926515,Mkanda
872261189755,-14.3,34.35,3,928537,Kasumbu
872261189755,-14.466667,34.633333,2,929727,Gunya
872261189755,-14.392955,35.346577,3,927245,Mangochi District
872261189755,-14.85,35.55,3,928312,Kawinga
872261189755,-15.752677,35.215762,3,930579,Chiradzulu District
872261189755,-16.105828,35.150601,3,930283,Thyolo District
872261189755,-16.1666667,34.75,3,931067,Chikwawa District
872261189755,-16.98043,35.21347,3,926879,Mbenje
872261189755,-16.75,35.166667,3,924567,Nsanje District
872261189755,-11.65304,34.053218,3,924730,Nkhata Bay District
872261189755,-14.75,34.75,3,925072,Ntcheu District
872261189755,-11.854277,33.607776,3,925496,Mzimba District
872261189755,-14.392955,35.346577,3,927245,Mangochi District
872261189755,-14.945831,35.573667,3,927642,Machinga District
872261189755,-13,33.416667,3,928531,Kasungu District
872261189755,-14.262731,34.18559,3,930023,Dedza District
872261189755,-16.105828,35.150601,3,930283,Thyolo District
872261189755,-15.752677,35.215762,3,930579,Chiradzulu District
872261189755,-16.166667,34.75,3,931067,Chikwawa District
872261189903,,,8,927384,Republic of Malawi
872261189903,,,8,927384,Republic of Malawi
872261199764,-15.928834,34.60688,2,927527,Majete Game Reserve
872261199796,-14.262731,34.18559,3,930023,Dedza District
872261199796,-14.019624,33.68407,3,927964,Lilongwe District
872261199796,-14.392955,35.346577,3,927245,Mangochi District
872261199796,-13.762298,33.0799839,3,926745,Mchinji District
872261199796,-14.75,34.75,3,925072,Ntcheu District
872261199796,-15.6666667,35.6666667,3,1105842,Phalombe District
872261199796,-16.105828,35.150601,3,930283,Thyolo District
872261199796,-14.75,34.75,3,925072,Ntcheu District
872261199796,-13.762298,33.079984,3,926745,Mchinji District
872261199796,-14.392955,35.346577,3,927245,Mangochi District
872261199796,-14.019624,33.68407,3,927964,Lilongwe District
872261199796,-14.262731,34.18559,3,930023,Dedza District
872261199796,-16.105828,35.150601,3,930283,Thyolo District
872261199796,-15.666667,35.666667,3,1105842,Phalombe District
872261199863,,,6,927384,Republic of Malawi
872261199876,,,6,927384,Republic of Malawi
872261199883,-9.927265,33.425412,3,235749,Chitipa District
872261199883,-15.430074,35.418291,3,923292,Zomba District
872261199883,-10.802922,33.805243,3,924100,Rumphi District
872261199883,-16.75,35.1666667,3,924567,Nsanje District
872261199883,-12.804172,34.082977,3,924703,Nkhotakota District
872261199883,-11.65304,34.053218,3,924730,Nkhata Bay District
872261199883,-14.75,34.75,3,925072,Ntcheu District
872261199883,-11.854277,33.607776,3,925496,Mzimba District
872261199883,-15.934395,35.499904,3,925788,Mulanje District
872261199883,-14.392955,35.346577,3,927245,Mangochi District
872261199883,-14.945831,35.573667,3,927642,Machinga District
872261199883,-14.019624,33.68407,3,927964,Lilongwe District
872261199883,-14.262731,34.18559,3,930023,Dedza District
872261199883,-16.166667,34.75,3,931067,Chikwawa District
